0.03503799,0.1952362,0,0,0.5055237,0.4200058,0,0,1.377922,0.1014252,0,0,0.0641861,0.008544922,0,0,0.037323,0.01191711,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007062912,0.1688385,0,0,0.3798218,0.2317581,0,0,1.152573,0.09333801,0,0,0.05368805,0.03009033,0,0,0.03569794,0.02227783,0,0,0,0,0,0,0
0.01712227,0.1439667,0,0,0.2054749,0.1544876,0,0,0.7906494,0.08796692,0,0,0.03419495,0.03231812,0,0,0.02695465,0.01637268,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.03138161,0.1273041,0,0,0.01011658,0.07321167,0,0,0.6461029,0.08712769,0,0,0.01223755,0.01123047,0,0,0.0276947,0.02227783,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08186531,0.1179199,0,0,0.05401611,0.1031265,0,0,0.8578568,0.09460449,0,0,0.01441956,0.008880615,0,0,0.04570007,0.02139282,0,0,0,0,0,0,0
0.1106358,0.1055756,0,0,0.026474,0.08544159,0,0,0.8279266,0.115509,0,0,0.001792908,0.007766724,0,0,0.04116058,0.01739502,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1009588,0.08927917,0,0,0.0324707,0.07427979,0,0,0.6094284,0.1152496,0,0,0.006973267,0.03967285,0,0,0.03887177,0.02241516,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08714771,0.06555176,0,0,0.03657532,0.07298279,0,0,0.2353439,0.2942352,0,0,0.0002059937,0.05969238,0,0,0.03131866,0.02359009,0,0,0,0,0,0,0
0.07315445,0.0630188,0,0,0.03855896,0.0406189,0,0,0.1873245,0.1229248,0,0,0.01377106,0.01652527,0,0,0.03199005,0.03192139,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1400709,0.2920074,0,0,0.04048157,0.1358643,0,0,0.5885162,0.2250061,0,0,0.2846603,0.001983643,0,0,0.003417969,0.1681366,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.09559822,0.2224426,0,0,0.1147919,0.1013565,0,0,0.3924637,0.06468201,0,0,0.3017502,0.2409515,0,0,0.0510025,0.06562805,0,0,0,0,0,0,0
